Date,Open,High,Low,Close,Volume,OI,%change,,
30/03/2026,32490.07,32741.39,32121.51,32182.38,0,0,,,
01/04/2026,33012.27,33149.42,32710.87,32814.97,0,0,1.97%,,
02/04/2026,32444.29,32920.03,31965.51,32839.65,0,0,0.08%,,9.842%
06/04/2026,32914.79,33265.91,32605.9,33229.93,0,0,1.19%,,
07/04/2026,33105.88,33418.56,32870.99,33395.05,0,0,0.50%,,
08/04/2026,34583.59,34722.95,34422.86,34690.59,0,0,3.88%,,
09/04/2026,34646.89,34765.66,34379.59,34521.99,0,0,-0.49%,,
10/04/2026,34745.45,35027.91,34663.06,35004.96,0,0,1.40%,,
13/04/2026,34290.51,34838.72,34174.75,34738.75,0,0,-0.76%,,
15/04/2026,35271.57,35439.21,35241.65,35394.87,0,0,1.89%,,
16/04/2026,35668.04,35703.96,35290.88,35485.91,0,0,0.26%,,
17/04/2026,35540.32,35836.64,35420,35820.15,0,0,0.94%,,
20/04/2026,35896.68,36012.45,35583.94,35814.68,0,0,-0.02%,,
21/04/2026,35899.63,36132.13,35853.92,36091.3,0,0,0.77%,,
22/04/2026,36024.94,36103.89,35909.55,36009.59,0,0,-0.23%,,
23/04/2026,35860.73,35959.18,35697.91,35729.71,0,0,-0.78%,,-1.06%
24/04/2026,35725.62,35807.37,35201.71,35349.66,0,0,-1.06%,,
